Positivos,Negativos
"""Melhor loja online de informática do Brasil, ótimo atendimento ao cliente, ótimo manuseio nas compras , qualidade dos produtos de ótima qualidade, melhor frete q eu já vi, recomendo pra todo mundo comprar nessa loja obg pichau.""","""Só o preço q não gostei está muito caro ultimamente...msis fazer o que é Brasil né tudo é caro ou tudo é imposto..."""
"""já fiz compras antes então já confio""","""Eles precisam urgentemente resolver o problema com o PIX."""
"""Preço do produto bom, site ótimo com bastante variedade e varias opções de frete""","""Deixa eu terminar de fazer a minha compra chegar no final essa avaliação não carrega e acaba eu te que selecionar todo os produtos """
"""até agora tudo perfeito""","""Site cheio de produtos indisponíveis. Deveria haver uma opção para não aparecer produtos indisponíveis. """
"""Boa""","""Pc veio com defeito, porem o atendimento foi otimo, e ja estou resolvendo."""
"""Nunca tive problema com a Pichau, mesmo quando recebi algum produto com erro, entrei em contato e sempre resolveram meu problema. Eles tem um ótimo preço e me atendem super bem com um ótimo prazo.""","""Pelo preço do produto, poderia ter frete grátis."""
"""Ótimo produtos""","""Essa é minha primeira compra no site e terceira compra com a Pichau, uma no ML e uma outra na Americanas e não recebi nenhum cupom de desconto. Entrei em contato via Twitter, pedindo um cupom de desconto mas responderam que não tinham como dar. Acho que essa é a única falha da Pichau. Podem corrigir o erro me mandando um cupom de desconto para minha próxima compra."""
"""Loja muito boa""","""As opções de frete não são muito boas e também pode acontecer do pedido não ser entregue no prazo."""
"""Chegou bem antes do prazo de entrega""","""Tive problemas na troca do produto , devolução de respostas e orientação sobre processo muito lento , precisei ficar mandando vários email para saber do andamento, só comprei novamente pq teve queda no preço do produto, caso contrário não compraria jamais."""
"""Essa foi minha primeira compra no site da pichau e estou satisfeito com minha compra, encontrei produtos e preços acessíveis ao meu orçamento e que apresentam ser de ótima qualidade.""","""Complicadíssimo para efetuar a compra com cartão de crédito. Levei quase uma hora para finalizar o pedido tendo que cadastrar no paypal, e dando erro do endereço cadastrado. Péssimo. Preços muito bons."""
