"Comprariam_novamente","Entrega_no_prazo","Indicaria_a_amigos"
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Compraria","Entregou","Indicaria "
"Não Compraria","Entregou","Indicaria "
"Não Compraria","Entregou","Indicaria "
"Não Compraria","Entregou","Indicaria "
"Não Compraria","Entregou","Não indicaria"
"Não Compraria","Não Entregou","Não indicaria"
"Não Compraria","Não Entregou","Não indicaria"
"Não Compraria","Não Entregou","Não indicaria"
"Não Compraria","Não Entregou","Não indicaria"
"Não Compraria","Não Entregou","Não indicaria"
"Não Compraria","Não Entregou","Não indicaria"
"Não Compraria","Não Entregou","Não indicaria"
